Orphanum	Name	ICD10 Reference
2109	Hallermam-Streiff like syndrome	Q87.8
199340	Muscular dystrophy, Selcen type	G72.8
199351	Dystonia-parkinsonism, Paisan-Ruiz type	G24.1
199351	Dystonia-parkinsonism, Paisan-Ruiz type	G22
2114	Hip dysplasia, Beukes type	Q65.8
199354	CARASIL syndrome	F01.1
199354	CARASIL syndrome	I67.3
199627	Atypical autism	F84.1
199630	Isolated cerebellar vermis hypoplasia	Q04.3
199642	Microencephaly	Q02
199647	Encephalocele	Q01
2128	Hemihypertrophy	Q89.8
2138	Ovotesticular disorder of sex development	Q56.0
2141	Diaphragmatic defect - limb deficiency - skull defect	Q87.8
2143	Donnai-Barrow syndrome	Q87.8
2149	Nodular neuronal heterotopia	Q04.8
2148	Lissencephaly type 1 due to doublecortin gene mutation	Q04.3
387	Hidradenitis suppurativa	L73.2
2150	Hirschsprung disease - type D brachydactyly	Q43.1
2152	Mowat-Wilson syndrome	Q43.1
2153	Hirschsprung disease - nail hypoplasia - dysmorphism	Q43.1
2155	Hirschsprung disease - deafness - polydactyly	Q43.1
2163	Holoprosencephaly - craniosynostosis	Q04.2
2163	Holoprosencephaly - craniosynostosis	Q75.0
2169	Methylcobalamin deficiency type cbl E	E72.1
2189	Hydrolethalus	Q87.8
2190	Congenital hydronephrosis	Q62.0
312	Congenital bullous ichthyosiform erythroderma	Q80.3
495	Greither's disease	Q82.8
2199	Localized epidermolytic palmoplantar hyperkeratosis	Q82.8
2200	Palmoplantar keratosis, focal  and gingival	Q82.8
2222	Hypertrichosis lanuginosa congenita	Q84.2
2224	Hypertryptophanemia	E70.8
2228	Hypodontia - dysplasia of nails	Q87.8
2237	Hypoparathyroidism - deafness - renal disease	Q87.8
206428	Hypoxanthine-guanine phosphoribosyltransferase deficiency	E79.8
206436	Infantile Krabbe disease	E75.2
2238	Familial isolated hypoparathyroidism	E20.8
2238	Familial isolated hypoparathyroidism	Q89.2
206443	Late-infantile or juvenile Krabbe disease	E75.2
2239	Familial isolated hypoparathyroidism due to agenesis of parathyroid gland	E20.8
206448	Adult Krabbe disease	E75.2
2241	Megacystis microcolon - intestinal hypoperistalsis - hydronephrosis	Q43.8
2243	Hypopituitarism - micropenis - cleft/lip palate	E23.0
2245	Hypopituitarism - postaxial polydactyly	E23.0
672	Pallister-Hall syndrome	D33.0
206546	Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers	G71.0
139	CHILD syndrome	Q87.8
206549	Autosomal recessive limb-girdle muscular dystrophy type 2L	G71.0
165	Neutral lipid storage disease	E75.5
206554	Autosomal recessive limb-girdle muscular dystrophy type 2M	G71.0
206559	Autosomal recessive limb-girdle muscular dystrophy type 2N	G71.0
457	Ichthyosis congenita, harlequin type	Q80.4
455	Ichthyosis bullosa of Siemens	Q80.8
206575	Rippling muscle disease with myasthenia gravis	G70.0
206575	Rippling muscle disease with myasthenia gravis	G71.1
2274	Ichthyosis - hepatosplenomegaly - cerebellar degeneration	Q87.8
206580	Autosomal recessive lower motor neuron disease with childhood onset	G12.2
206583	Adult polyglucosan body disease	E74.0
206594	Subacute inflammatory demyelinating polyneuropathy	G61.8
2285	Primary basilar impression	Q75.8
2286	Solitary median maxillary central incisor syndrome	K00.2
206644	Progressive muscular dystrophy	G71.0
2289	Neuronal intranuclear inclusion disease	G31.8
206647	Myotonic dystrophy	G71.1
206650	Autosomal dominant distal myopathy	G71.0
206653	Autosomal recessive distal myopathy	G71.0
206662	Inclusion myopathy	G72.8
2295	Ehlers-Danlos syndrome type 11	Q79.8
206701	Bulbospinal muscular atrophy	G12.2
206704	Bulbospinal muscular atrophy of children	G12.2
206707	Bulbospinal muscular atrophy of adult	G12.2
206710	Generalized bulbospinal muscular atrophy	G12.2
206713	Distal spinal muscular atrophy	G12.1
2307	IVIC syndrome	Q87.8
2309	Pachyonychia congenita	Q84.5
206959	Muscular glycogenosis	E74.0
2315	Johanson-Blizzard syndrome	Q87.8
206970	Myotonic syndrome	G71.1
206973	Congenital myotonia	G71.1
2316	Neuroectodermal syndrome, Johnson type	Q87.8
206976	Periodic paralysis	G72.3
2319	Juberg-Hayward syndrome	Q87.0
2322	Kabuki syndrome	Q87.0
2323	Sanjad-Sakati syndrome	Q87.0
2328	Kapur-Toriello syndrome	Q87.8
207006	Acquired amyloid myopathy	G72.8
207009	Acquired rod-body myopathy	G72.8
2335	Isolated keratoconus	H19.8
2335	Isolated keratoconus	Q87.8
2336	Keratoderma - hypotrichosis - leukonychia	Q84
2337	Autosomal dominant diffuse palmoplantar keratoderma, Norrbotten type	Q82.8
2338	Hereditary palmoplantar keratoderma punctate	Q82.8
494	Keratoderma hereditarium mutilans	Q82.8
207028	Cerebellar ataxia with peripheral neuropathy	G60.2
2340	Keratosis follicularis spinulosa decalvans	Q82.8
485	Kniest dysplasia	Q77.8
2348	Familial partial lipodystrophy, Dunnigan type	E88.1
2371	Lethal Larsen-like syndrome	Q87.2
208441	Bilateral parasagittal parieto-occipital polymicrogyria	Q04.3
208444	Bilateral frontal polymicrogyria	Q04.3
208447	Bilateral generalised polymicrogyria	Q04.3
208508	Autosomal dominant cerebellar ataxia type 2	G11.8
208513	Spinocerebellar ataxia type 29	G11.8
2400	Peripheral motor neuropathy - dysautonomia	G12.2
2400	Peripheral motor neuropathy - dysautonomia	G90.8
208981	Polyradiculoneuropathy associated with IgG/IgA/IgM monoclonal gammopathy without known antibodies	G61.8
1019	Epstein syndrome	D69.4
296	Enchondromatosis	Q78.4
2438	Hand-foot-genital syndrome	Q51.2
2440	Split hand - split foot	Q71.6
2440	Split hand - split foot	Q72.7
2451	Mucocutaneous venous malformations	Q27.9
209335	Adult-onset proximal spinal muscular atrophy, autosomal dominant	G12.1
2456	Familial supernumerary nipples	Q83.3
209341	Childhood-onset proximal spinal muscular atrophy, autosomal dominant	G12.1
2457	Mandibuloacral dysplasia	Q87.5
2461	Marden-Walker syndrome	Q87.0
559	Marinesco-Sjögren syndrome	G11.1
561	Marshall-Smith syndrome	Q78.8
209893	Congenital isolated thyroxine-binding globulin deficiency	E07.8
209902	Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency	E78.0
209905	Choreoathetosis - hypothyroidism - neonatal respiratory distress	P22.8
209905	Choreoathetosis - hypothyroidism - neonatal respiratory distress	E03.1
209905	Choreoathetosis - hypothyroidism - neonatal respiratory distress	G25.5
2470	Matthew-Wood syndrome	Q87.8
209951	Autosomal recessive spastic paraplegia type 18	G11.4
2477	Megalencephaly	Q04.5
2479	Megalocornea-intellectual deficit syndrome	Q87.8
209967	Episodic ataxia type 6	G11.8
209970	Episodic ataxia type 7	G11.8
2481	Neurocutaneous melanosis	C43.9
209981	IRIDA syndrome	D50.8
2483	Melkersson-Rosenthal syndrome	G51.2
2484	Osteodysplasty, Melnick-Needles type	Q77.8
2485	Melorheostosis	Q77.4
210128	Encephalopathy due to urocanase deficiency	E70.8
619	Primary ovarian failure	E28.3
210163	Congenital lethal myopathy, Compton-North type	G71.2
210566	Myoclonic dystonia 15	G24.1
2499	Metachondromatosis	Q78.8
210571	Dystonia 16	G24.1
2501	Metaphyseal chondrodysplasia, Spahr type	Q78.5
2504	Metaphyseal dysplasia - maxillary hypoplasia - brachydacty	Q87.1
2505	Michelin tire baby syndrome	Q82.8
211017	Spinocerebellar ataxia type 30	G11.8
211037	Autosomal dominant proximal spinal muscular atrophy	G12.1
211062	Hereditary episodic ataxia	G11.8
211067	Episodic ataxia type 5	G11.8
2514	Autosomal dominant microcephaly	Q02
2524	Pontocerebellar hypoplasia type 2	Q04.3
2558	Mikati-Najjar-Sahli syndrome	E22.8
2561	Ackerman syndrome	Q87.8
2569	Moore-Federman syndrome	Q87.1
2570	Morse-Rawnsley-Sargent syndrome	Q04.2
2573	Moyamoya disease	I67.5
575	Muckle-Wells syndrome	E85.0
575	Muckle-Wells syndrome	L50.8
2578	MURCS association	Q87.8
2589	Myoclonus - cerebellar ataxia - deafness	G11.1
2590	Hereditary myoclonus - progressive distal muscular atrophy	G25.3
2593	Tubular aggregate myopathy	G71.2
1359	Carney complex	D44.8
2616	3M syndrome	Q87.1
2621	Low birth weight - dwarfism - dysgammaglobulinemia	D82.8
216694	Congenitally corrected transposition of the great arteries	Q20.5
2632	Langer mesomelic dysplasia	Q87.1
2633	Mesomelic dwarfism, Nievergelt type	Q87.1
216866	Classic pantothenate kinase associated neurodegeneration	G23.0
216873	Atypical pantothenate kinase associated neurodegeneration	G23.0
216972	Niemann-Pick disease type C, severe perinatal	E75.2
216975	Niemann-Pick disease type C, severe early infantile neurologic onset	E75.2
2636	Microcephalic osteodysplastic primordial dwarfism types 1 and 3	Q87.1
216978	Niemann-Pick disease type C, late infantile neurologic onset	E75.2
216981	Niemann-Pick disease type C, juvenile neurologic onset	E75.2
2645	Osteoglophonic dwarfism	Q87.1
216986	Niemann-Pick disease type C, adult neurologic onset	E75.2
2646	Parastremmatic dwarfism	Q87.1
217012	Spinocerebellar ataxia type 31	G11.8
217023	Atypical hemolytic uremic syndrome with thrombomodulin anomaly	D58.8
217031	Obesity due MC3R deficiency	E66.8
2658	Lenz-Majewski hyperostotic dwarfism	Q87.1
217055	Autosomal recessive intermediate Charcot-Marie-Tooth disease type A	G60.0
2663	Nathalie syndrome	H91.9
2668	Nephropathy - deafness - hyperparathyroidism	Q87.8
2670	Pierson syndrome	N04.9
1475	Papillo-renal syndrome	Q14.2
1475	Papillo-renal syndrome	Q60.4
2671	Neu-Laxova syndrome	Q04.3
217085	Mucopolysaccharidosis type 2A	E76.1
217093	Mucopolysaccharidosis type 2B	E76.1
217253	Limbic encephalitis associated with NMDAreceptor antibodies	G13.1
2678	Neurofibromatosis type 6	L81.3
2679	Infantile axonal neuropathy	G60.8
2683	Sensory neuropathy - spastic paraplegia	G60.0
2683	Sensory neuropathy - spastic paraplegia	G11.4
2695	Bifid nose	Q30.8
2697	Arthrogryposis - renal dysfunction - cholestasis	Q89.7
217382	Neurodegenerative syndrome due to cerebral folate transport deficiency	E53.8
2707	Oculocerebrofacial syndrome, Kaufman type	Q87.0
2709	Oculodental syndrome, Rutherfurd type	Q87.8
2710	Oculodentodigital dysplasia	Q87.8
217454	Rare hereditary thrombophilia	D68.8
217467	Hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency	D68.8
2719	Oculocerebral hypopigmentation syndrome, Cross type	E70.3
2736	Lethal omphalocele-cleft palate syndrome	Q87.8
661	Ondine syndrome	G47.3
2741	Ophthalmomandibulomelic dysplasia	Q87.8
2750	Oral-facial-digital syndrome type 1	Q87.0
2751	Oral-facial-digital syndrome type 2	Q87.0
2752	Oral-facial-digital syndrome type 3	Q87.0
2753	Oral-facial-digital syndrome type 4	Q87.0
2754	Joubert syndrome with orofaciodigital defect	Q87.0
2755	Oral-facial-digital syndrome type 8	Q87.0
2760	OSLAM syndrome	C41.9
2763	Osteocraniostenosis	Q78.0
220295	Xeroderma pigmentosum/Cockayne syndrome complex	Q87.1
220295	Xeroderma pigmentosum/Cockayne syndrome complex	Q82.1
220386	Semilobar holoprosencephaly	Q04.2
2768	Blount disease	M92.5
2770	Polycystic lipomembranous osteodysplasia - sclerosing leukoencephalopathy	E75.2
2777	Osteomesopyknosis	Q78.8
220452	Inherited giant platelet disorder	D69.1
2779	Osteopathia striata - pigmentary dermopathy - white forelock	Q77.8
220465	Laron syndrome with immunodeficiency	E34.3
220465	Laron syndrome with immunodeficiency	D82.8
2780	Osteopathia striata - cranial sclerosis	Q78.8
667	Autosomal recessive malignant osteopetrosis	Q78.2
220493	Joubert syndrome with ocular defect	Q04.3
2783	Autosomal dominant osteopetrosis type 1	Q78.2
220497	Joubert syndrome with renal defect	Q04.3
1306	Buschke-Ollendorff syndrome	Q78.8
2790	Autosomal dominant osteosclerosis, Worth type	Q78.8
2791	Otodental syndrome	H90.3
2791	Otodental syndrome	K00.2
2792	Otofaciocervical syndrome	Q87.0
2793	Oto-onycho-peroneal syndrome	Q87.5
2796	Pachydermoperiostosis	M89.4
2802	X-linked sideroblastic anemia - ataxia	D64.0
2805	Partial pancreas agenesis	Q45.0
675	Annular pancreas	Q45.1
2807	Papilloma of choroid plexus	D33.1
678	Papillon-Lefèvre syndrome	Q82.8
221074	Marchiafava-Bignami disease	G37.1
2809	Familial recurrent peripheral facial palsy	G51.0
221083	Clonic hemifacial spasm	G51.3
221091	Trigeminal neuralgia	G50.0
221098	Glossopharyngeal neuralgia	G52.1
221106	Isolated facial myokymia	G51.4
2823	Paraplegia - brachydactyly - cone-shaped epiphysis	G82.1
221109	Cranial neuralgia	G50
221109	Cranial neuralgia	G51
221109	Cranial neuralgia	G52
221109	Cranial neuralgia	G53
2822	Autosomal recessive spastic paraplegia type 11	G11.4
2834	Wrinkly skin syndrome	M35.9
2836	PEHO syndrome	G31.8
2837	Pellagra-like skin rash - neurological manifestations	E72.8
2839	Pelvis-shoulder dysplasia	Q87.5
2846	Congenital pericardium anomaly	Q24.8
2850	Alopecia-intellectual deficit syndrome	Q87.8
2855	Perrault syndrome	Q87.8
708	Peters anomaly	Q13.4
225123	Hemochromatosis type 3	E83.1
225147	Sporadic infantile bilateral striatal necrosis	G23.2
225154	Familial infantile bilateral striatal necrosis	G23.2
2874	Phakomatosis pigmentokeratotica	Q85.8
2875	Phakomatosis pigmentovascularis	Q85.8
2879	Phocomelia, Schinzel type	Q87.2
2881	Cutaneous photosensitivity - lethal colitis	L57.8
2884	Piebaldism	L81.6
2886	TARP syndrome	Q87.8
2888	Pierre Robin syndrome - faciodigital anomaly	Q87.8
2889	Pili torti	Q84.1
2900	Leri pleonosteosis	Q87.8
2905	POEMS syndrome	D18.0
2905	POEMS syndrome	D47.2
2905	POEMS syndrome	R16
2905	POEMS syndrome	G61.8
2907	Hereditary  acrokeratotic poikiloderma, Weary type	L90.8
2911	Poland syndrome	Q79.8
2918	Postaxial polydactyly	Q69.0
2919	Oral-facial-digital syndrome type 5	Q87.0
2922	Preaxial polydactyly	Q69.1
2924	Polycystic liver disease	Q44.6
2935	Crossed polysyndactyly	Q70.4
2940	Porencephaly	Q04.6
1848	Bilateral renal agenesis	Q60.1
2950	Triphalangeal thumb - polysyndactyly syndrome	Q74.0
2952	Adducted thumbs - arthrogryposis, Christian type	Q74.8
227510	Multiple system atrophy, cerebellar type	G90.3
740	Progeria	E34.8
2962	De Barsy syndrome	Q87.8
2964	Autosomal dominant prognathism	K07.1
227976	Autosomal recessive optic atrophy, OPA7 type	H47.2
750	Pseudoachondroplasia	Q77.8
228165	Balò concentric sclerosis	G37.5
2990	Autosomal recessive multiple pterygium syndrome	Q87.0
228174	Autosomal dominant Charcot-Marie-Tooth disease type 2N	G60.0
228179	Autosomal dominant Charcot-Marie-Tooth disease type 2M	G60.0
3005	Pyle disease	Q78.5
769	Rabson-Mendenhall syndrome	E13
228302	Carnitine palmitoyl transferase II deficiency, myopathic form	E71.3
228305	Carnitine palmitoyl transferase II deficiency, severe infantile form	E71.3
3021	RAPADILINO syndrome	Q87.1
228308	Carnitine palmitoyl transferase II deficiency, neonatal form	E71.3
228315	Idiopathic hypersomnia with long sleep time	F51.1
228318	Idiopathic hypersomnia without long sleep time	F51.1
228329	CLN1 disease	E75.4
228337	CLN10 disease	E75.4
3029	Horseshoe kidney	Q63.1
228340	CLN4A disease	E75.4
228343	CLN4B disease	E75.4
228346	CLN3 disease	E75.4
228349	CLN2 disease	E75.4
228354	CLN8 disease	E75.4
228357	CLN9 disease	E75.4
228360	CLN5 disease	E75.4
228363	CLN6 disease	E75.4
228366	CLN7 disease	E75.4
228371	Foodborne botulism	A05.1
228374	Severe early-onset axonal neuropathy due to NEFL deficiency	G60.0
3057	Monoamine oxidase-A deficiency	E70.8
3057	Monoamine oxidase-A deficiency	F54
228429	Generalized congenital lipodystrophy with myopathy	G72.8
228429	Generalized congenital lipodystrophy with myopathy	E88.1
230800	Infectious botulism	A05.1
3068	Intellectual deficit - myopathy - short stature - endocrine defect	G71.2
3077	Intellectual deficit, X-linked - psychosis - macroorchidism	F71.1
3078	Severe X-linked intellectual deficit, Gustavson type	F79
3079	Intellectual deficit, Buenos-Aires type	F78
3080	Intellectual deficit, Wolff type	F78
3090	Congenital pulmonary venous return anomaly	Q26.2
3098	Rhizomelic syndrome	Q87.1
3106	Robinow-Sorauf syndrome	Q87.0
3107	Robinow syndrome, dominant form	Q87.1
2909	Rothmund-Thomson syndrome	Q82.8
3115	Roussy-Levy syndrome	G60.0
3118	Rudiger syndrome	Q87.0
3121	Ruvalcaba syndrome	Q87.1
798	Midface retraction syndrome, Schinzel-Giedion type	Q87.0
3138	Ulnar-mammary syndrome	Q71.8
231457	Acute pandysautonomia	G61.0
3143	Autoimmune polyendocrinopathy type 2	E31.0
3152	Sclerosteosis	Q78.8
3153	Adolescent idiopathic scoliosis	M41.2
3156	Senior-Loken syndrome	Q74.8
3157	Septo-optic dysplasia	Q04.8
3163	SHORT syndrome	Q87.1
1797	Autosomal dominant spondylocostal dysostosis	Q76.4
252	Spondyloepimetaphyseal dysplasia	Q77.8
3181	Sprengel deformity	Q74.0
3193	Supravalvular aortic stenosis	Q25.3
3197	Hereditary hyperekplexia	G25.8
3201	Ventricular extrasystoles - perodactyly - Robin sequence	Q87.0
3213	Deafness - opticoacoustic nerve atrophy - dementia	Q87.8
3219	Deafness - skeletal dysplasia - lip granuloma	Q87.8
3221	Generalized resistance to thyroid hormone	E07.8
3222	Phosphoribosylpyrophosphate synthetase superactivity	E79.8
238459	CDG syndrome type IIf	E77.8
3231	DOOR syndrome	Q87.8
238583	Hyperphenylalaninemia	E70.1
3237	Multiple synostoses	Q87.8
3239	Deafness - vitiligo - achalasia	Q87.8
3242	Renpenning syndrome	F72.9
3248	Distal symphalangism	Q70.9
3250	Proximal symphalangism	Q70.9
238755	Autosomal dominant limb-girdle muscular dystrophy type 1H	G71.0
425	Apolipoprotein A-I deficiency	E78.6
3292	Camptodactyly syndrome, Tel Hashomer type	Q74.0
240071	Classical progressive supranuclear palsy	G23.1
3321	Thrombocytopenia - chromosome breakage	D69.8
240085	Progressive supranuclear palsy - parkinsonism	G23.1
240094	Progressive supranuclear palsy - pure akinesia with gait freezing	G23.1
3322	Hoyeraal-Hreidarsson syndrome	D61.8
240103	Progressive supranuclear palsy - corticobasal syndrome	G23.1
240112	Progressive supranuclear palsy - progressive non fluent aphasia	G23.1
3332	Hypoplastic tibiae - post axial polydactyly	Q74.2
3344	Weismann-Netter syndrome	Q77.8
3362	Trichomegaly - cataract - hereditary spherocytosis	Q87.8
3366	Isolated trigonocephaly	Q75.0
3377	Distal arthrogryposis type 7	M24.5
3377	Distal arthrogryposis type 7	Q68.1
1717	Distal trisomy 19q	Q92.8
1724	Mosaic trisomy 20	Q92.8
3384	Truncus arteriosus	Q20.0
3388	Neural tube defect	Q05
3403	Uhl anomaly	Q24.8
3408	Upington disease	M91.8
1244	Bicuspid aortic valve	Q23.1
3416	Hyperostosis corticalis generalisata	M85.2
3449	Weill-Marchesani syndrome	Q87.1
3450	Weissenbacher- Zweymuller syndrome	Q87.2
3453	Autoimmune polyendocrinopathy type 1	E31.0
3454	Wieacker-Wolff syndrome	Q66
3454	Wieacker-Wolff syndrome	Q87.2
3455	Wiedemann-Rautenstrauch syndrome	E34.8
3456	Wildervanck syndrome	Q87.8
3458	Wilms tumor - radial bilateral aplasia	C64
3466	WT limb-blood syndrome	D61.8
3469	XK aprosencephaly	Q04.3
3472	Yunis-Varon syndrome	Q87.8
3473	Zimmerman-Laband syndrome	Q87.8
3319	Congenital amegakaryocytic thrombocytopenia	D69.4
1827	Acromelic frontonasal dysplasia	Q75.8
2749	Oro-mandibular-limb hypogenesis syndrome	Q87.5
489	Thyroglossal duct cyst	Q89.2
2254	Pontocerebellar hypoplasia type 1	Q04.3
1423	Lethal recessive chondrodysplasia	Q78.8
1789	Craniofacial dysostosis - arthrogryposis - progeroid appearance	Q87.8
2349	Muscular pseudohypertrophy - hypothyroidism	E03.1
378	Sjögren's syndrome	M35.0
2326	Kallmann syndrome - heart disease	E23.0
2326	Kallmann syndrome - heart disease	Q24.9
1541	Craniosynostosis, Boston type	Q75.8
1114	Circumscribed cutaneous aplasia of the vertex	Q84.8
1217	Spinal atrophy - ophthalmoplegia - pyramidal syndrome	G12.2
1844	Bone dysplasia, Azouz type	Q79.8
65	Congenital Leber amaurosis	H35.5
110	Bardet-Biedl syndrome	Q87.8
144	Familial nonpolyposis colon cancer	C18.9
144	Familial nonpolyposis colon cancer	Z80.0
321	Multiple exostoses	Q78.6
478	Kallmann syndrome	E23.0
633	Laron syndrome	E34.3
669	Otopalatodigital syndrome	Q87.0
822	Hereditary spherocytosis	D58.0
910	Xeroderma pigmentosum	Q82.1
777	X-linked nonsyndromic intellectual deficit	F78
766	Hemolytic anemia due to red cell pyruvate kinase deficiency	D55.2
229	Familial aortic dissection	I71.0
28	Vitamin B12-responsive methylmalonic acidemia	E71.1
411	Hyperlipoproteinemia type 1	E78.3
412	Hyperlipidemia type 3	E78.2
424	Familial hyperthyroidism due to mutations in TSH receptor	E05.8
743	Hereditary thrombophilia due to congenital protein S deficiency	D68.8
1002	Cluster headache	G44.0
1002	Cluster headache	Z82.8
2089	Hepatic glycogen synthase deficiency	E74.0
1930	Herpetic encephalitis	G05.1
1930	Herpetic encephalitis	B00.4
343	Hyperimmunoglobinemia D with recurrent fever	R77.1
325	Congenital factor II deficiency	D68.2
3324	Familial thrombomodulin anomalies	D68.8
572	Immunodeficiency by defective expression of HLA class 2	D81.7
3325	Heparin-induced thrombocytopenia	D69.5
621	Hereditary methemoglobinemia	D74.0
746	Mitochondrial trifunctional protein deficiency	E71.3
746	Mitochondrial trifunctional protein deficiency	I43.1
943	Malonic aciduria	E72.8
20	3-hydroxy-3-methylglutaric aciduria	E71.1
6	3-methylcrotonylglycinuria	E71.1
832	Succinyl-CoA acetoacetate transferase deficiency	E71.1
832	Succinyl-CoA acetoacetate transferase deficiency	E87.2
440	Familial hypospadias	Q54.8
712	Hemolytic anemia due to glucophosphate isomerase deficiency	D55.2
714	Diphosphoglycerate mutase deficiency of erythrocyte	D55.2
2056	Fructosuria	E74.1
158	Carnitine uptake deficiency	E71.3
1945	Benign familial epilepsy of childhood with rolandic spikes	G40.0
820	Sneddon syndrome	I77.8
335	Congenital fibrinogen deficiency	D68.2
1070	Anisakiasis	B81.0
1467	Cogan syndrome	H16.3
1467	Cogan syndrome	H81.0
1467	Cogan syndrome	H90.3
79	Congenital alpha2 antiplasmin deficiency	D68.8
331	Congenital factor XIII deficiency	D68.2
282	Frontotemporal dementia	G31.0
542	Cutaneous lymphoma	C84
707	Plague	A20
159	Carnitine-acylcarnitine translocase deficiency	E71.3
1481	Complement component 2 deficiency	D89.8
414	Hyperornithinemia	E72.4
2170	Methylcobalamin deficiency, cbl G type	E72.1
2203	Hyperlysinemia	E72.3
3124	Saccharopinuria	E72.3
2157	Histidinemia	E70.8
2195	Dicarboxylicaminoaciduria	E72.0
2168	Homocarnosinosis	E72.8
332	Congenital intrinsic factor deficiency	D51.0
2843	Pentosuria	E74.8
212	Cystathioninuria	E72.1
470	Lysinuric protein intolerance	E72.0
1032	Hyperdibasic aminoaciduria type 1	E72.0
622	Homocystinuria without methylmalonic aciduria	E72.1
927	Hyperammonemia due to N-acetylglutamate synthetase deficiency	E72.2
3402	Tyrosine oxidase temporary deficiency	E70.2
34	Pipecolic acidemia	E71.1
2880	Phosphoenolpyruvate carboxykinase deficiency	E74.4
24	Fumaric aciduria	E88.8
3208	Succinate CoQ reductase deficiency	G71.3
1460	Coenzyme Q cytochrome c reductase deficiency	G71.3
1561	Fatal infantile cytochrome C oxidase deficiency	G71.3
1044	Anemia due to adenosine triphosphatase deficiency	D55.3
851	Paris-Trousseau thrombocytopenia	D69.4
849	Glanzmann thrombasthenia	D69.1
745	Hereditary thrombophilia due to congenital protein C deficiency	D68.2
145	Hereditary breast and ovarian cancer syndrome	C50.9
145	Hereditary breast and ovarian cancer syndrome	Z80.3
538	Lymphangioleiomyomatosis	I89.8
2965	Prolactinoma	D35.2
2965	Prolactinoma	E22.1
2942	Post-poliomyelitic syndrome	B91
1578	Dehydratase deficiency	E70.1
2778	Juvenile chronic recurrent multifocal osteomyelitis	M86.3
1451	CINCA syndrome	G03.1
1451	CINCA syndrome	G44.8
1451	CINCA syndrome	L50.8
1451	CINCA syndrome	M08.9
2330	Kasabach-Merritt syndrome	D75.8
2584	Classical mycosis fungoides	C84.0
3162	Sezary's syndrome	C84.1
292	Congenital enterovirus infection	P35.8
767	Polyarteritis nodosa	M30.0
179	Chorioretinopathy, Birdshot type	H30.9
340	Hemorrhagic fever - renal syndrome	A98.5
341	Viral hemorrhagic fever	A91
341	Viral hemorrhagic fever	A92.0
341	Viral hemorrhagic fever	A92.4
341	Viral hemorrhagic fever	A95
341	Viral hemorrhagic fever	A96
341	Viral hemorrhagic fever	A98
344	Arbovirus fever	A94
1560	Cysticercosis	B69
3385	African trypanosomiasis	B56
2566	Susceptibility to chronic infection by Epstein-Barr virus	B27.0
2086	Optic pathway glioma	C72.3
1648	Lewy body dementia	G31.8
3260	Idiopathic hypereosinophilic syndrome	D72.1
982	Pulmonary valve agenesis	Q22.2
1132	Aortic arch defects	Q25.4
1138	Abnormal origin of the pulmonary artery	Q25.7
1456	Atypical coarctation of aorta	Q25.1
1457	Aorta coarctation	Q25.1
1463	Triatrial heart	Q24.2
2037	Aorta-pulmonary artery fistula	Q21.4
422	Idiopathic and/or familial pulmonary arterial hypertension	I27.0
2447	Congenital mitral malformation	I34.0
2299	Aortic arch interruption	Q25.4
3426	Double outlet right ventricle	Q20.1
3427	Double outlet left ventricle	Q20.2
3092	Fixed subaortic stenosis	Q24.4
3093	Congenital aortic valve stenosis	Q23.0
3161	Pulmonary sequestration	Q33.2
3188	Congenital pulmonary veins stenosis	Q26.4
3189	Congenital pulmonary valve stenosis	Q22.1
860	Congenitally uncorrected transposition of the great arteries	Q20.3
3400	Aorto-ventricular tunnel	Q20.8
1464	Univentricular heart	Q20.8
3261	Autoimmune lymphoproliferative syndrome	D72.8
3261	Autoimmune lymphoproliferative syndrome	D89.8
1572	Common variable immunodeficiency	D83
2849	Perlman syndrome	C64
2953	Adducted thumbs-arthrogryposis, Dundar type	Q74.0
747	Pulmonary alveolar proteinosis	J84.0
782	Rieger syndrome	Q13.8
3269	Radio-ulnar synostosis	Q74.0
3309	Tetrasomy 5p	Q99.8
882	Tyrosinemia type 1	E70.2
903	Von Willebrand disease	D68.0
1441	Ring chromosome 17	Q99.8
361	Familial glucocorticoid deficiency	E27.1
1787	Acrofacial dysostosis, palagonia type	Q75.4
2088	Bickel-Fanconi glycogenosis	E74.0
3283	His bundle tachycardia	I47.1
3286	Catecholinergic polymorphic ventricular tachycardia	I47.2
599	Distal myopathy	G71.0
416	Hyperoxaluria	E74.8
67	Amoebiasis due to Entamoeba histolytica	A06
1546	Cryptococcosis	B45
1902	Ehrlichiosis	A68.1
2583	Mycetoma	B47
3392	Tularemia	A21
2591	Infantile myofibromatosis	D21.9
2415	Lymphatic malformation	D18.1
655	Autosomal recessive medullary cystic kidney disease	N11.8
656	Familial idiopathic steroid-resistant nephrotic syndrome	N04.9
220	Denys-Drash syndrome	Q87.8
137	CDG syndrome	E77.8
5	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	E71.3
5	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	G60
407	Isolated nonketotic hyperglycinemia	E72.5
35	Propionic acidemia	E71.1
663	Progressive external ophthalmoplegia	H49.4
618	Familial melanoma	C43
309	Familial partial epilepsy	G40.1
359	Hereditary glaucoma	H40.1
359	Hereditary glaucoma	Q15.0
25	Glutaric acidemia type 1	E72.3
